Time,Temperature,Insolation
9/22/23 8:05,17,282.3
9/22/23 8:10,17.1,315.8
9/22/23 8:15,17.5,344.4
9/22/23 8:20,17.8,180
9/22/23 8:25,17.6,227
9/22/23 8:30,17.7,145.3
9/22/23 8:35,17.8,158.8
9/22/23 8:40,17.7,156.7
9/22/23 8:45,17.8,171.1
9/22/23 8:50,17.9,172.8
9/22/23 8:55,17.9,182.4
9/22/23 9:00,17.8,196.9
9/22/23 9:05,17.8,225
9/22/23 9:10,17.8,196.4
9/22/23 9:15,17.6,185.2
9/22/23 9:20,17.4,184.4
9/22/23 9:25,17.4,166.3
9/22/23 9:30,17.5,166
9/22/23 9:35,17.5,230.4
9/22/23 9:40,17.9,441.4
9/22/23 9:45,18.6,464.6
9/22/23 9:50,19,495.2
9/22/23 9:55,19.3,525.9
9/22/23 10:00,20.3,537.3
9/22/23 10:05,20.4,572.9
9/22/23 10:10,20.4,599.9
9/22/23 10:15,20.9,630
9/22/23 10:20,21.7,600.8
9/22/23 10:25,21.6,683.8
9/22/23 10:30,21.9,716.4
9/22/23 10:35,21.5,659.4
9/22/23 10:40,21.9,566.8
9/22/23 10:45,21.6,630.5
9/22/23 10:50,21.4,707.3
9/22/23 10:55,21.8,676.2
9/22/23 11:00,22.4,736.7
9/22/23 11:05,23,840.4
9/22/23 11:10,22.9,551.1
9/22/23 11:15,23.6,806.3
9/22/23 11:20,23.2,792.7
9/22/23 11:25,23.6,518.3
9/22/23 11:30,22.8,562.6
9/22/23 11:35,22.2,787.7
9/22/23 11:40,22.3,744.7
9/22/23 11:45,22.8,706.5
9/22/23 11:50,22.8,788.2
9/22/23 11:55,23,792.2
9/22/23 12:00,23.7,810.5
9/22/23 12:05,23.6,487
9/22/23 12:10,23.3,874.1
9/22/23 12:15,23.7,397.9
9/22/23 12:20,23.7,584.5
9/22/23 12:25,23.6,638.1
9/22/23 12:30,23.5,582.3
9/22/23 12:35,23.4,600.5
9/22/23 12:40,23.1,418.2
9/22/23 12:45,23.5,389
9/22/23 12:50,23.4,405.8
9/22/23 12:55,23.9,417.9
9/22/23 13:00,23.8,424.6
